ip,port,service,banner
172.20.0.1,22,ssh,"SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.14
Invalid SSH identification string."
172.20.0.10,5000,unknown,"<!DOCTYPE HTML>
<html lang=""en"">
    <head>
        <meta charset=""utf-8"">
        <title>Error response</title>
    </head>
    <body>
        <h1>Error response</h1>
        <p>Error code: 400</p>
        <p>Message: Bad request syntax ('Hello').</p>
        <p>Error code explanation: 400 - Bad request syntax or unsupported method.</p>
    </body>
</html>"
